,Date,Ticket,Open,Close,High,Low,Volume
count,242,242.0,242.0,242.0,242.0,242.0,242.0
mean,2023-07-04 08:43:38.181818112,600000.0,6.282396694214876,6.276900826446281,6.329132231404959,6.232314049586776,279474.19834710745
min,2023-01-03 00:00:00,600000.0,5.79,5.8,5.86,5.76,108960.0
25%,2023-04-04 12:00:00,600000.0,6.16,6.1525,6.2,6.12,190022.5
50%,2023-07-05 12:00:00,600000.0,6.26,6.26,6.3,6.22,245498.0
75%,2023-09-27 18:00:00,600000.0,6.38,6.37,6.4275,6.33,311875.75
max,2023-12-29 00:00:00,600000.0,7.09,7.02,7.17,6.89,1431179.0
std,,0.0,0.21304558876820417,0.2129478499640074,0.22390459742791577,0.2009056686248735,157317.38864574805
